time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1658423520,23074.28,23054.7,23057.98,30.23,697127.8,23059.44,direct,
1658423580,23072.03,23058.1,23059.44,19.76,455620.4,23059.45,direct,
1658423640,23060.74,23002.6,23059.45,81.51,1876217.6,23006.17,direct,
1658423700,23032.82,22995.58,23006.17,94.8,2181816.2,23026.44,direct,
1658423760,23072.76,23026.44,23026.44,71.23,1642160.1,23072.76,direct,
1658423820,23100.66,23072.76,23072.76,61.99,1431049.2,23100.66,direct,
1658423880,23104.31,23080.08,23100.66,32.32,746279.3,23084.34,direct,
1658423940,23088.38,23058.68,23084.34,32.89,758469.5,23063.14,direct,
1658424000,23064.06,23053.12,23063.14,34.92,805152.06,23056.25,direct,
1658424060,23067.72,23045.87,23056.25,23.53,542505.5,23045.87,direct,
1658424120,23062.18,23041.77,23045.87,21.55,496686.34,23060.82,direct,
1658424180,23064.28,23040.4,23060.82,31.66,729808.0,23041.9,direct,
1658424240,23047.66,22991.32,23041.9,121.36,2793494.5,22995.54,direct,
1658424300,23002.0,22966.13,22995.54,49.67,1141472.0,22966.69,direct,
1658424360,22991.05,22964.17,22966.69,101.27,2326195.8,22971.02,direct,
1658424420,22977.43,22929.64,22971.02,69.65,1598402.5,22936.14,direct,
1658424480,22944.91,22921.5,22936.14,20.0,458636.0,22921.5,direct,
1658424540,22937.5,22921.5,22921.5,32.36,741922.1,22931.09,direct,
1658424600,22964.83,22928.78,22931.09,69.97,1605886.6,22941.93,direct,
1658424660,22941.93,22892.17,22941.93,163.27,3740898.0,22898.1,direct,
1658424720,22899.65,22872.12,22898.1,105.95,2423772.2,22875.63,direct,
1658424780,22882.36,22832.84,22875.63,55.97,1279294.0,22834.7,direct,
1658424840,22855.56,22826.39,22834.7,38.31,875085.2,22855.56,direct,
1658424900,22882.41,22848.17,22855.56,42.26,965987.5,22849.94,direct,
1658424960,22898.7,22849.94,22849.94,29.12,666493.44,22894.81,direct,
1658425020,22901.96,22877.06,22894.81,26.1,597479.3,22879.57,direct,
1658425080,22900.33,22878.74,22879.57,16.82,384952.47,22897.18,direct,
1658425140,22909.11,22895.35,22897.18,20.47,468858.78,22902.46,direct,
1658425200,22916.57,22901.27,22902.46,10.35,237141.66,22916.29,direct,
1658425260,22922.04,22895.92,22916.29,43.0,985012.7,22922.04,direct,
1658425320,22943.11,22917.31,22922.04,21.36,489952.62,22929.64,direct,
1658425380,22930.72,22903.92,22929.64,7.886,180694.61,22914.96,direct,
1658425440,22917.9,22904.08,22914.96,9.62,220402.02,22905.28,direct,
1658425500,22914.55,22904.08,22905.28,25.23,577926.06,22913.53,direct,
1658425560,22915.16,22884.72,22913.53,41.99,961319.6,22884.72,direct,
1658425620,22884.72,22853.53,22884.72,38.81,887387.5,22858.38,direct,
1658425680,22871.0,22852.85,22858.38,24.77,566058.06,22853.49,direct,
1658425740,22861.94,22825.4,22853.49,27.47,627420.3,22825.71,direct,
1658425800,22845.79,22813.53,22825.71,39.57,903256.5,22843.43,direct,
1658425860,22854.54,22834.51,22843.43,11.8,269494.2,22835.34,direct,
1658425920,22835.34,22795.55,22835.34,36.05,822238.75,22804.36,direct,
1658425980,22817.95,22783.23,22804.36,53.37,1216326.6,22817.55,direct,
1658426040,22850.62,22816.12,22817.55,47.2,1077754.4,22843.09,direct,
1658426100,22855.18,22832.57,22843.09,25.22,576146.25,22853.48,direct,
1658426160,22859.66,22845.61,22853.48,13.21,301806.8,22852.0,direct,
1658426220,22862.58,22833.04,22852.0,19.17,437863.62,22833.48,direct,
1658426280,22851.03,22829.84,22833.48,11.13,254289.81,22847.25,direct,
1658426340,22857.69,22845.69,22847.25,17.47,399270.0,22854.5,direct,
1658426400,22860.01,22837.63,22854.5,45.56,1041021.56,22841.13,direct,
